Function Value 	 Function Evaluation
-2475.984762 		 98
93.416980 		 38
10073.432516 		 338
810644.634343 		 98
438.634660 		 58
1082.047046 		 58
8526.731674 		 58
Function Value 	 Function Evaluation
-1828.870134 		 118
736.439915 		 38
3324.566328 		 478
57613.151364 		 98
25030.063947 		 78
18257.134384 		 38
45534.348377 		 1999
Function Value 	 Function Evaluation
170734.887505 		 38
-10.375630 		 1999
9.367738 		 118
511850.880862 		 78
27011.581443 		 78
-18133.289888 		 178
-14260.718809 		 178
Function Value 	 Function Evaluation
151666.316786 		 38
1.735027 		 1999
16.645514 		 138
168.641421 		 98
1004.828273 		 98
-18133.289888 		 178
-14260.718809 		 178
